এইতো আমি রাস্তায়!	দুঃখিত।
তোমার মতো থাকতে আমি বাবার সাথে এখানে এসেছিলাম।	বাবা বলেছিলেন এটা কুংফু জাদুর পানি।
এটা পান করলে কেউ তোমাকে হারাতে পারবে না।	এত্ত মজার পানি কখনো খাইনি আগে।
সাপের সাথের মহিলাকে খেয়াল করেছেন?	করেছি।
সাপের সাথে কেমন করছিল!	একদম হুবহু সাপের মতো ভঙ্গি করছিল।
ঠিক যেন এমন তুমি বোধহয় ভালো করে খেয়াল করোনি, চাও ড্রে।	সাপ ওই মহিলাকে কপি করছিল।
কী বললেন?	বুঝতে পারলাম না।
দেখো কী দেখতে পাচ্ছ?	আমাকে।
আসলে, আমার ছায়াকে।	হ্যাঁ,এখন কী দেখতে পারছ?
ঘোলামত কিছু একটা।	 হ্যাঁ।
ওই মহিলা ছিলেন এই পানির মতোই দৃঢ়, নিরব আর শান্ত।	এখানে আর এখানে।
তো সাপ পানিতে তার ছায়া ভেবে নকল করছিল।	 আয়নার মতো।  হ্যাঁ।
কিছু না করেই উনি সাপকে নিয়ন্ত্রণ করছিলেন?	শান্ত থাকা আর কিছু না  করার মাঝে বিস্তর ফারাক আছে।
 তিনি সাপকে বশ করতে চি ব্যবহার করেছেন?	ভালো বলেছ।
তাহলে শেখান কীভাবে মানুষকে বশ করতে হয়।	শুধু একজনকে বশ করা শিখলেই হবে।
কাকে?	মাথা থেকে সব ঝেড়ে ফেলো।
আমার দিকে নজর দাও।	আশেপাশের সবকিছুর সাথে মিশতে চেষ্টা করো।
আমি ওই সাপের জিনিসটি শিখবো।	ওটা শিখতে সারাজীবনের সাধনার প্রয়োজন।
অনেক মনোযোগ দরকার।		আমার কাছে কোনো ব্যাপার না।
গেলাম, মিস্টার হান।	তোমাকে আরো বেশি মনযোগী হতে হবে।
মিস্টার হান?	ধন্যবাদ, মিস্টার হান।
জানো, চায়নায় ফরচুন কুকি নেই!	ড্রে, এখন থেকে সাবধানে রাস্তা পার হবে
সেদিন আমাকে ভয় পাইয়ে দিয়েছিলে।	রাস্তা পারাপারের জন্য ভালো ব্যবস্থাও নেই।
এখানে চিহ্নও সব উল্টাপাল্টা, আমি ঠিকমতো ধরতেই পারছি না।	সেদিন ভুলে ছেলেদের ওয়াশরুমে ঢুকে পড়েছিলাম।
ঢুকে দেখি ৯০ বছরের এক বুড়ো, আমাকে দেখে তো প্রায় বেহুঁশ হয়ে গেছিল	ড্রে! এমন করছো কেন?
নুডলস খাও।		ওঠো।
কী করছেন মিস্টার হান?	আকস্মিক হামলা!
আমি তো দেখা যাবে না, খেয়াল করতে হবে	মরে গেলাম, মিস্টার হান!
ব্যথা পাচ্ছি!	 মিস্টার হান!
 কী?	মনোযোগ দাও, ঠিক আছে?
লাঠি এখন আমি নেবো নাকি?	ঘোরো, লাথি দাও।
আউচ ড্রে, কী হলো?	কিছু না!
কাল তাহলে কখন আসব মিস্টার হান?	চাও ড্রে, কাল আসা লাগবে না।
কেন?	কারণ, "বেশি টাইট দিলে, স্ক্রু ঢিলা হয়ে যায়"
অনেক ট্রেনিং নিয়েছ, 	কালকের দিন বিশ্রাম নাও।
